INFO:root:b'GET /index.html HTTP/1.1\r\ncache-control: no-cache\r\nPostman-Token: 2a9de22c-4438-4da7-bb44-1b0d270e989c\r\nUser-Agent: PostmanRuntime/7.6.0\r\nAccept: */*\r\nHost: 127.0.0.1:8888\r\naccept-encoding: gzip, deflate\r\nConnection: keep-alive\r\n\r\n'
INFO:root:b'GET /index.html HTTP/1.1\r\ncache-control: no-cache\r\nPostman-Token: 0bf94588-e903-43f6-9757-4f8fa7763754\r\nUser-Agent: PostmanRuntime/7.6.0\r\nAccept: */*\r\nHost: 127.0.0.1:8888\r\naccept-encoding: gzip, deflate\r\nConnection: keep-alive\r\n\r\n'
INFO:root:b'GET /index.html HTTP/1.1\r\nAccept: */*\r\nContent-Length: 0\r\nHost: 127.0.0.1:8888\r\nConnection: Keep-Alive\r\nUser-Agent: Apache-HttpClient/4.5.2 (Java/1.8.0_121)\r\nAccept-Encoding: gzip,deflate\r\n\r\n'
INFO:root:b'GET /in.html HTTP/1.1\r\nAccept: */*\r\nContent-Length: 0\r\nHost: 127.0.0.1:8888\r\nConnection: Keep-Alive\r\nUser-Agent: Apache-HttpClient/4.5.2 (Java/1.8.0_121)\r\nAccept-Encoding: gzip,deflate\r\n\r\n'
INFO:root:b'POST /index.html HTTP/1.1\r\nContent-Type: application/x-www-form-urlencoded; charset=ISO-8859-1\r\nAccept: */*\r\nContent-Length: 0\r\nHost: 127.0.0.1:8888\r\nConnection: Keep-Alive\r\nUser-Agent: Apache-HttpClient/4.5.2 (Java/1.8.0_121)\r\nAccept-Encoding: gzip,deflate\r\n\r\n'
INFO:root:b'GET /index.html HTTP/1.1\r\ncache-control: no-cache\r\nPostman-Token: b381b119-1175-4a55-bf72-b99a625e2dc0\r\nUser-Agent: PostmanRuntime/7.6.0\r\nAccept: */*\r\nHost: 127.0.0.1:8888\r\naccept-encoding: gzip, deflate\r\nConnection: keep-alive\r\n\r\n'
INFO:root:b'OPTIONS /index.html HTTP/1.1\r\ncache-control: no-cache\r\nPostman-Token: 6f7dab81-5222-4edf-821d-7aee830977ff\r\nUser-Agent: PostmanRuntime/7.6.0\r\nAccept: */*\r\nHost: 127.0.0.1:8888\r\naccept-encoding: gzip, deflate\r\ncontent-length: 0\r\nConnection: keep-alive\r\n\r\n'
INFO:root:b'GET /index.html HTTP/1.1\r\nAccept: */*\r\nContent-Length: 0\r\nHost: 127.0.0.1:8888\r\nConnection: Keep-Alive\r\nUser-Agent: Apache-HttpClient/4.5.2 (Java/1.8.0_121)\r\nAccept-Encoding: gzip,deflate\r\n\r\n'
INFO:root:b'GET /in.html HTTP/1.1\r\nAccept: */*\r\nContent-Length: 0\r\nHost: 127.0.0.1:8888\r\nConnection: Keep-Alive\r\nUser-Agent: Apache-HttpClient/4.5.2 (Java/1.8.0_121)\r\nAccept-Encoding: gzip,deflate\r\n\r\n'
INFO:root:b'POST /index.html HTTP/1.1\r\nContent-Type: application/x-www-form-urlencoded; charset=ISO-8859-1\r\nAccept: */*\r\nContent-Length: 0\r\nHost: 127.0.0.1:8888\r\nConnection: Keep-Alive\r\nUser-Agent: Apache-HttpClient/4.5.2 (Java/1.8.0_121)\r\nAccept-Encoding: gzip,deflate\r\n\r\n'
INFO:root:b'OPTIONS / HTTP/1.1\r\ncache-control: no-cache\r\nPostman-Token: 0001ac68-d95a-43a8-bab2-4d636d527833\r\nUser-Agent: PostmanRuntime/7.6.0\r\nAccept: */*\r\nHost: 127.0.0.1:8888\r\naccept-encoding: gzip, deflate\r\ncontent-length: 0\r\nConnection: keep-alive\r\n\r\n'
